Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
285,213,267,200,80,78,1,21,10.481583072100314,10.0,2.948694945666211
297,303,180,200,80,76,2,21,9.202586206896552,9.0,3.2632814544134625
335,350,273,200,80,70,2,20,10.265282131661442,10.0,2.6836469242094148
434,333,221,200,80,63,2,20,10.56230407523511,11.0,2.8203868798539604
522,173,204,200,80,72,2,23,11.005094043887148,11.0,2.9408306687913384
654,184,292,200,80,75,2,21,10.524686520376175,10.0,3.074980232192769
793,281,316,200,80,57,2,22,10.147335423197493,10.0,3.273971271156252
945,357,242,200,80,82,0,22,9.297805642633229,9.0,3.227749229842966
1082,363,223,200,80,71,1,21,9.359717868338558,9.0,2.886419599126209
1165,245,171,200,80,81,3,21,10.998040752351097,11.0,3.006066893403778
1148,226,245,200,80,82,0,22,9.79898119122257,10.0,3.3939299812333443
1117,390,238,200,80,78,1,23,9.837774294670846,10.0,3.4800618034675272
1039,466,168,200,80,69,2,24,9.93652037617555,10.0,3.199953241046284
908,484,301,200,80,71,2,24,10.43769592476489,10.0,3.339941483214939
114,345,289,200,80,70,2,22,10.765673981191222,11.0,2.9675539731177443
143,157,379,200,80,74,1,26,8.997257053291536,9.0,2.854421088236742
205,318,118,200,80,70,1,25,9.65242946708464,9.0,3.818712430990981
366,347,209,200,80,67,2,25,10.945532915360502,11.0,3.59310932071505
552,353,128,200,80,83,1,22,10.558777429467085,10.0,3.2456374980339646
762,286,283,200,80,80,1,29,9.030172413793103,9.0,3.9030510493438917
953,206,302,200,80,70,0,22,9.74333855799373,10.0,3.4653958164076077
1142,296,151,200,80,87,2,23,9.911833855799372,10.0,2.787340013089837
1218,329,186,200,80,69,2,25,11.137147335423197,11.0,3.5884479421422135
1241,307,156,200,80,68,2,22,10.732758620689655,11.0,2.708235247912738
1172,221,245,200,80,70,1,22,9.816222570532915,9.0,3.7504863000033093
1068,572,341,200,80,71,1,22,9.584639498432601,9.0,3.4343209362603417
880,683,181,200,80,87,1,24,9.565047021943574,9.0,3.936765167255339
624,513,331,200,80,73,1,23,11.226097178683386,11.0,2.90163597838493
67,251,369,200,80,76,3,24,11.246473354231975,11.0,3.8141569455651476
107,71,165,200,80,86,2,19,9.327586206896552,9.0,2.4555721558272987
203,424,328,200,80,77,1,19,8.697100313479623,9.0,2.6583737208050686
370,568,190,200,80,65,0,22,8.11794670846395,8.0,2.7870824146183306
570,584,96,200,80,79,0,23,10.310736677115987,10.0,3.465265724579621
791,507,206,200,80,81,1,24,10.920454545454545,11.0,3.1114897469582075
947,330,223,200,80,75,1,23,8.348354231974922,8.0,3.045585806168146
1109,366,389,200,80,75,2,20,9.787617554858935,10.0,2.8173839492844346
1156,518,43,200,80,69,1,21,9.12460815047022,9.0,3.2980457907185756
1159,668,316,200,80,80,2,22,11.503134796238244,11.0,3.2821818118105246
1060,658,219,200,80,80,0,23,9.406347962382446,10.0,3.5615731023750836
873,469,370,200,80,78,3,23,11.23628526645768,11.0,3.2826918564768093
621,281,205,200,80,79,0,20,9.087774294670846,9.0,2.8823820694346143
362,325,326,200,80,66,1,19,9.277037617554859,9.0,2.8913945396927168
57,370,203,200,80,83,1,21,9.611677115987462,10.0,2.8716108565437444
76,343,198,200,80,75,0,21,9.49333855799373,9.0,3.0097729241019966
143,273,362,200,80,67,2,20,10.706504702194357,11.0,2.747125315809526
260,260,284,200,80,78,2,21,9.508228840125392,9.0,2.8648931109159883
383,261,28,200,80,66,1,21,9.334639498432601,9.0,3.368337372780891
524,270,249,200,80,72,0,23,10.919278996865204,11.0,4.349331168331048
612,206,214,200,80,72,1,23,12.175940438871473,12.0,3.7772003460410626
727,172,318,200,80,64,1,21,8.79114420062696,9.0,2.913034151842678
794,349,295,200,80,78,2,22,10.788401253918495,11.0,3.1187154158827775
785,478,233,200,80,71,2,22,10.563871473354231,11.0,2.8726625328026345
698,389,264,200,80,74,0,26,10.918103448275861,11.0,3.919741631730067
563,134,318,200,80,64,1,25,11.009404388714733,11.0,3.32274945016474
397,27,234,200,80,65,3,24,11.717476489028213,12.0,3.0258357577942485
233,162,348,200,80,70,2,20,9.306426332288401,9.0,2.7631400667125305
33,237,222,200,80,61,2,22,10.054467084639498,10.0,2.666510425780754
35,227,272,200,80,58,1,24,9.066614420062695,9.0,3.180852019873173
72,108,115,200,80,73,2,20,11.162617554858935,11.0,3.007143644328096
156,18,305,200,80,76,1,22,10.205721003134796,10.0,3.208347536644239
226,74,224,200,80,84,2,27,11.712774294670846,11.0,3.773383913556697
309,92,158,200,80,76,2,22,9.490595611285267,9.0,2.9126369284931686
397,125,168,200,80,75,1,20,9.023902821316614,9.0,3.247952207994329
474,76,185,200,80,81,1,17,8.932993730407523,9.0,2.6251990466331216
537,28,201,200,80,74,3,22,10.623432601880877,10.0,3.0449299250709023
543,64,304,200,80,74,0,23,8.961990595611285,9.0,3.7723894359328667
497,79,278,200,80,79,2,22,10.168495297805643,10.0,2.8652842526918634
386,87,150,200,80,66,1,22,10.206112852664576,10.0,3.1179519039007912
276,50,231,200,80,79,3,22,10.545062695924765,10.0,2.9266649060933245
