Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
384,59,262,300,640,408,91,148,120.31152037617555,120.0,7.886472617909295
430,131,395,300,640,421,92,143,118.58620689655173,119.0,7.096983621332174
549,290,517,300,640,373,95,146,119.57601880877743,119.0,7.698706593297187
699,505,239,300,640,412,94,141,117.71865203761756,118.0,7.440358264113222
835,628,364,300,640,405,99,148,122.92711598746081,123.0,6.849663160541487
994,65,315,300,640,394,93,146,120.71826018808777,121.0,7.466288632149962
1146,112,266,300,640,387,94,143,118.90517241379311,119.0,7.64778769525642
1232,191,349,300,640,406,96,145,119.41105015673982,120.0,7.163064012313882
1249,271,502,300,640,374,94,154,122.55681818181819,122.0,9.491535607226213
1177,391,223,300,640,401,94,141,119.12421630094043,119.0,7.055135066896173
1091,71,501,300,640,384,97,157,123.5384012539185,123.0,8.166523067463231
955,180,320,300,640,367,94,145,119.70728840125392,120.0,7.075398468893977
812,333,407,300,640,393,97,144,119.89890282131661,120.0,6.722847306921852
631,416,563,300,640,423,94,145,119.20336990595611,119.0,7.423577490019008
144,534,538,300,640,400,102,146,123.2037617554859,123.0,6.985263369730125
205,71,608,300,640,406,98,145,119.5462382445141,119.0,6.874449077018357
365,192,510,300,640,390,91,153,119.65791536050156,120.0,8.874260093438906
572,374,425,300,640,401,94,142,118.73236677115987,119.0,7.8499397623805
768,442,430,300,640,406,92,147,120.02782131661442,120.0,7.700329367587218
1032,536,283,300,640,392,95,142,118.7315830721003,119.0,7.067773522988172
1216,49,439,300,640,385,94,143,122.09365203761756,122.0,6.838389044142456
1371,132,323,300,640,417,94,141,117.74137931034483,118.0,7.162120356672253
1368,242,413,300,640,370,96,144,119.39772727272727,119.0,7.577533066499657
1269,280,276,300,640,379,90,153,117.1712382445141,117.0,8.455307752397523
1102,360,349,300,640,397,94,146,123.62578369905957,124.0,6.886724070971838
903,131,344,300,640,414,97,148,121.47766457680251,121.0,7.767303639685071
649,180,143,300,640,419,93,149,119.43338557993731,119.0,7.681162979223724
433,386,172,300,640,397,95,146,120.67358934169279,121.0,8.356222221348052
94,710,323,300,640,402,94,147,121.51528213166144,122.0,7.588645514920481
158,948,422,300,640,403,96,142,119.62029780564264,120.0,6.989778379332892
313,174,359,300,640,394,90,146,118.59913793103448,119.0,8.145351726152192
