Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
613,261,382,300,160,167,16,46,28.914184952978058,29.0,4.302082973324208
706,231,243,300,160,150,19,46,31.608542319749215,32.0,4.309714812179064
808,186,353,300,160,128,17,49,31.269200626959247,31.0,4.697931044706239
968,147,311,300,160,155,15,50,29.438479623824453,29.0,4.543431188810187
1108,167,287,300,160,170,14,45,30.18064263322884,30.0,4.232733862488746
1305,409,247,300,160,155,16,45,30.314655172413794,30.0,4.376498037150446
1400,446,179,300,160,139,18,45,30.63871473354232,30.0,4.271217321519857
1486,581,269,300,160,177,15,45,30.109717868338556,30.0,4.267288228280701
1461,661,390,300,160,151,16,46,30.24960815047022,30.0,4.267964044814958
1403,753,221,300,160,168,16,47,30.407523510971785,30.0,4.767813304887501
1306,349,197,300,160,134,16,47,31.49843260188088,31.0,4.388642800574846
1158,434,161,300,160,117,11,48,28.253134796238246,28.0,4.510544721430476
1036,608,171,300,160,164,13,46,28.309561128526646,28.0,4.411416806423273
892,709,199,300,160,152,18,55,32.93808777429467,33.0,5.029622979426955
285,761,213,300,160,145,17,48,30.7923197492163,31.0,4.414723578428891
397,402,284,300,160,168,16,44,30.566222570532915,30.0,4.128272824647819
577,398,219,300,160,146,12,47,28.690438871473354,29.0,4.286993099917447
819,437,338,300,160,159,15,45,29.07641065830721,29.0,4.54307578484507
1068,410,318,300,160,143,15,49,30.37460815047022,30.0,4.739030999593269
1321,444,328,300,160,155,18,48,31.509404388714735,31.0,4.316612143521618
1522,452,286,300,160,155,14,45,31.016065830721004,31.0,4.322806277730772
1660,459,272,300,160,165,16,45,30.206112852664578,30.0,4.297953905534369
1640,441,269,300,160,132,17,47,29.32601880877743,29.0,4.028150957645116
1518,359,252,300,160,153,12,47,30.34130094043887,30.0,4.803739354625498
1334,301,119,300,160,147,16,44,29.262539184952978,29.0,3.999123079134919
1129,235,187,300,160,162,16,47,31.566614420062695,32.0,4.678230931741308
878,268,382,300,160,161,15,45,28.59051724137931,29.0,4.465958428539098
626,475,174,300,160,148,16,47,30.79310344827586,31.0,4.618466690281068
207,837,37,300,160,156,13,47,30.767241379310345,31.0,4.575718821654088
